y_m,max_temp,min_temp,mean_temp
1840-01,5.2,-2.9,1.2
1840-02,5.2,-2.9,1.2
1840-03,5.2,-2.9,1.2
1840-04,11.1,2.3,6.7
1840-05,17.2,7.6,12.4
1840-06,20.7,10.8,15.8
1840-07,24.4,14.5,19.5
1840-08,23.8,14.1,19
1840-09,17.9,7.2,12.6
1840-10,12.6,2.2,7.4
1840-11,5.6,-1.5,2.1
1840-12,-1,-8.8,-4.9
1841-01,-0.6,-8.3,-4.5
1841-02,-1.2,-9.7,-5.5
1841-03,2.2,-6.7,-2.3
1841-04,8.8,-0.2,4.3
1841-05,16.6,5.3,11
1841-06,25.3,13.4,19.4
1841-07,25.8,12.6,19.2
1841-08,24.2,13.1,18.7
1841-09,20.5,11.7,16.1
1841-10,10.1,1.3,5.7
1841-11,4.7,-2.2,1.3
1841-12,1.1,-5.1,-2
1842-01,1.9,-7.6,-2.9
1842-02,1.8,-6.1,-2.2
1842-03,7.1,-1.7,2.7
1842-04,11.7,2.2,7
1842-05,16.1,4.3,10.2
1842-06,20.4,8.6,14.5
1842-07,25.4,11.8,18.6
1842-08,25,14,19.5
1842-09,18.8,8.7,13.8
1842-10,12.6,2.9,7.8
1842-11,4.7,-2.7,1
1842-12,0,-7.6,-3.8
1843-01,1.4,-5.7,-2.2
1843-02,-4.4,-12.7,-8.6
1843-03,-0.9,-10.6,-5.8
1843-04,9.6,0.6,5.1
1843-05,16.4,5.1,10.8
1843-06,20.3,9.2,14.8
1843-07,25.5,12.5,19
1843-08,25.4,13.3,19.4
1843-09,21.3,11.4,16.4
1843-10,10.3,2.4,6.4
1843-11,3.8,-2.5,0.7
1843-12,2,-3.4,-0.7
1844-01,-2.6,-10.3,-6.5
1844-02,0.7,-7.9,-3.6
1844-03,4.2,-3.8,0.2
1844-04,15,3.5,9.3
1844-05,19,7.3,13.2
1844-06,21.8,10.3,16.1
1844-07,25.8,13.1,19.5
1844-08,23.8,12.9,18.4
1844-09,21.1,9.6,15.4
1844-10,11.2,1.9,6.6
1844-11,5.7,-2,1.9
1844-12,1.8,-6,-2.1
1845-01,0.7,-7.1,-3.2
1845-02,0.4,-7.4,-3.5
1845-03,6.1,-2.9,1.6
1845-04,10.7,0.8,5.8
1845-05,16.4,4.1,10.3
1845-06,21.8,10,15.9
1845-07,25.4,13,19.2
1845-08,25.3,13.4,19.4
1845-09,18.4,7.1,12.8
1845-10,12.6,2.4,7.5
1845-11,6.1,-0.9,2.6
1845-12,-2.4,-10.1,-6.3
1846-01,0.1,-7.6,-3.8
1846-02,-2.2,-12.7,-7.5
1846-03,3.9,-4.4,-0.3
1846-04,11,1.9,6.5
1846-05,18.2,8.1,13.2
1846-06,22.4,12.2,17.3
1846-07,26.2,14.6,20.4
1846-08,24.8,14.9,19.9
1846-09,21.8,12.7,17.3
1846-10,11.2,3.2,7.2
1846-11,7.7,2.4,5.1
1846-12,0.2,-5.8,-2.8
1847-01,-2.1,-8.6,-5.4
1847-02,-2.2,-9.1,-5.7
1847-03,0.4,-6.9,-3.3
1847-04,7.2,-0.6,3.3
1847-05,16.2,6.7,11.5
1847-06,18.8,10.1,14.5
1847-07,25,14.7,19.9
1847-08,22.7,12.8,17.8
1847-09,16.9,9.1,13
1847-10,10.6,3.1,6.9
1847-11,6.1,0.8,3.5
1847-12,0.6,-4.5,-2
1848-01,0.6,-5.9,-2.7
1848-02,0.6,-6.4,-2.9
1848-03,1.3,-5.6,-2.2
1848-04,9.7,0.1,4.9
1848-05,17.2,7,12.1
1848-06,21.9,10.9,16.4
1848-07,22.7,13.2,18
1848-08,24.6,14.6,19.6
1848-09,17.1,7.3,12.2
1848-10,11.1,4.1,7.6
1848-11,3.4,-1.7,0.9
1848-12,1.6,-4.6,-1.5
1849-01,-4.2,-10.5,-7.4
1849-02,-4.5,-10.6,-7.6
1849-03,3.6,-2.8,0.4
1849-04,7.2,-0.6,3.3
1849-05,12.6,5.1,8.9
1849-06,21.3,12.1,16.7
1849-07,24.8,13.8,19.3
1849-08,23.2,13.2,18.2
1849-09,18.6,9.7,14.2
1849-10,11.3,4,7.7
1849-11,8.1,3.1,5.6
1849-12,-0.9,-6.3,-3.6
1850-01,1.3,-5.1,-1.9
1850-02,0.3,-8.3,-4
1850-03,2.4,-5.7,-1.7
1850-04,7.7,-1.2,3.3
1850-05,15.3,4.3,9.8
1850-06,23.4,11.2,17.3
1850-07,25.8,15.7,20.8
1850-08,23.8,14.2,19
1850-09,18.4,7.2,12.8
1850-10,11.4,1.5,6.5
1850-11,7.2,-1.4,2.9
1850-12,-2.3,-8.9,-5.6
1851-01,-0.6,-8.3,-4.5
1851-02,0.3,-5.4,-2.6
1851-03,3.9,-3.2,0.4
1851-04,8.5,1.4,5
