n, yy ,mean_max,mean_min,mean,weather
1, 1840-01 ,5.2,-2.9,1.2,cold
2, 1840-02 ,5.2,-2.9,1.2,cold
3, 1840-03 ,5.2,-2.9,1.2,cold
4, 1840-04 ,11.1,2.3,6.7,cold
5, 1840-05 ,17.2,7.6,12.4,cool
6, 1840-06 ,20.7,10.8,15.8,cool
7, 1840-07 ,24.4,14.5,19.5,cool
8, 1840-08 ,23.8,14.1,19,cool
9, 1840-09 ,17.9,7.2,12.6,cool
10, 1840-10 ,12.6,2.2,7.4,cold
11, 1840-11 ,5.6,-1.5,2.1,cold
12, 1840-12 ,-1,-8.8,-4.9,v_cold
13, 1841-01 ,-0.6,-8.3,-4.5,v_cold
14, 1841-02 ,-1.2,-9.7,-5.5,v_cold
15, 1841-03 ,2.2,-6.7,-2.3,v_cold
16, 1841-04 ,8.8,-0.2,4.3,cold
17, 1841-05 ,16.6,5.3,11,cool
18, 1841-06 ,25.3,13.4,19.4,cool
19, 1841-07 ,25.8,12.6,19.2,cool
20, 1841-08 ,24.2,13.1,18.7,cool
21, 1841-09 ,20.5,11.7,16.1,cool
22, 1841-10 ,10.1,1.3,5.7,cold
23, 1841-11 ,4.7,-2.2,1.3,cold
24, 1841-12 ,1.1,-5.1,-2,v_cold
25, 1842-01 ,1.9,-7.6,-2.9,v_cold
26, 1842-02 ,1.8,-6.1,-2.2,v_cold
27, 1842-03 ,7.1,-1.7,2.7,cold
28, 1842-04 ,11.7,2.2,7,cold
29, 1842-05 ,16.1,4.3,10.2,cool
30, 1842-06 ,20.4,8.6,14.5,cool
31, 1842-07 ,25.4,11.8,18.6,cool
32, 1842-08 ,25,14,19.5,cool
33, 1842-09 ,18.8,8.7,13.8,cool
34, 1842-10 ,12.6,2.9,7.8,cold
35, 1842-11 ,4.7,-2.7,1,cold
36, 1842-12 ,0,-7.6,-3.8,v_cold
37, 1843-01 ,1.4,-5.7,-2.2,v_cold
38, 1843-02 ,-4.4,-12.7,-8.6,v_cold
39, 1843-03 ,-0.9,-10.6,-5.8,v_cold
40, 1843-04 ,9.6,0.6,5.1,cold
41, 1843-05 ,16.4,5.1,10.8,cool
42, 1843-06 ,20.3,9.2,14.8,cool
43, 1843-07 ,25.5,12.5,19,cool
44, 1843-08 ,25.4,13.3,19.4,cool
45, 1843-09 ,21.3,11.4,16.4,cool
46, 1843-10 ,10.3,2.4,6.4,cold
47, 1843-11 ,3.8,-2.5,0.7,cold
48, 1843-12 ,2,-3.4,-0.7,v_cold
49, 1844-01 ,-2.6,-10.3,-6.5,v_cold
50, 1844-02 ,0.7,-7.9,-3.6,v_cold
51, 1844-03 ,4.2,-3.8,0.2,cold
52, 1844-04 ,15,3.5,9.3,cold
53, 1844-05 ,19,7.3,13.2,cool
54, 1844-06 ,21.8,10.3,16.1,cool
55, 1844-07 ,25.8,13.1,19.5,cool
56, 1844-08 ,23.8,12.9,18.4,cool
57, 1844-09 ,21.1,9.6,15.4,cool
58, 1844-10 ,11.2,1.9,6.6,cold
59, 1844-11 ,5.7,-2,1.9,cold
60, 1844-12 ,1.8,-6,-2.1,v_cold
61, 1845-01 ,0.7,-7.1,-3.2,v_cold
62, 1845-02 ,0.4,-7.4,-3.5,v_cold
63, 1845-03 ,6.1,-2.9,1.6,cold
64, 1845-04 ,10.7,0.8,5.8,cold
65, 1845-05 ,16.4,4.1,10.3,cool
66, 1845-06 ,21.8,10,15.9,cool
67, 1845-07 ,25.4,13,19.2,cool
68, 1845-08 ,25.3,13.4,19.4,cool
69, 1845-09 ,18.4,7.1,12.8,cool
70, 1845-10 ,12.6,2.4,7.5,cold
71, 1845-11 ,6.1,-0.9,2.6,cold
72, 1845-12 ,-2.4,-10.1,-6.3,v_cold
73, 1846-01 ,0.1,-7.6,-3.8,v_cold
74, 1846-02 ,-2.2,-12.7,-7.5,v_cold
75, 1846-03 ,3.9,-4.4,-0.3,v_cold
76, 1846-04 ,11,1.9,6.5,cold
77, 1846-05 ,18.2,8.1,13.2,cool
78, 1846-06 ,22.4,12.2,17.3,cool
79, 1846-07 ,26.2,14.6,20.4,warm
80, 1846-08 ,24.8,14.9,19.9,cool
81, 1846-09 ,21.8,12.7,17.3,cool
82, 1846-10 ,11.2,3.2,7.2,cold
83, 1846-11 ,7.7,2.4,5.1,cold
84, 1846-12 ,0.2,-5.8,-2.8,v_cold
85, 1847-01 ,-2.1,-8.6,-5.4,v_cold
86, 1847-02 ,-2.2,-9.1,-5.7,v_cold
87, 1847-03 ,0.4,-6.9,-3.3,v_cold
88, 1847-04 ,7.2,-0.6,3.3,cold
