year,qtr,fed_rate
1954,3,1.0266666666666666
1954,4,0.9866666666666667
1955,1,1.343333333333333
1955,2,1.5
1955,3,1.9400000000000002
1955,4,2.356666666666667
1956,1,2.4833333333333334
1956,2,2.6933333333333334
1956,3,2.81
1956,4,2.9266666666666663
1957,1,2.9333333333333336
1957,2,3.0
1957,3,3.233333333333334
1957,4,3.2533333333333334
1958,1,1.8633333333333335
1958,2,0.9400000000000001
1958,3,1.3233333333333333
1958,4,2.1633333333333336
1959,1,2.57
1959,2,3.0833333333333335
1959,3,3.5766666666666667
1959,4,3.99
1960,1,3.9333333333333336
1960,2,3.6966666666666668
1960,3,2.936666666666667
1960,4,2.296666666666667
1961,1,2.0033333333333334
1961,2,1.7333333333333332
1961,3,1.6833333333333333
1961,4,2.4
1962,1,2.4566666666666666
1962,2,2.606666666666667
1962,3,2.846666666666667
1962,4,2.9233333333333333
1963,1,2.966666666666667
1963,2,2.9633333333333334
1963,3,3.33
1963,4,3.453333333333333
1964,1,3.4633333333333334
1964,2,3.49
1964,3,3.456666666666667
1964,4,3.5766666666666667
1965,1,3.973333333333333
1965,2,4.076666666666667
1965,3,4.073333333333333
1965,4,4.166666666666667
1966,1,4.556666666666667
1966,2,4.913333333333333
1966,3,5.41
1966,4,5.563333333333333
1967,1,4.823333333333334
1967,2,3.99
1967,3,3.893333333333333
1967,4,4.173333333333333
1968,1,4.786666666666666
1968,2,5.98
1968,3,5.943333333333334
1968,4,5.916666666666667
1969,1,6.566666666666666
1969,2,8.326666666666666
1969,3,8.983333333333333
1969,4,8.94
1970,1,8.573333333333332
1970,2,7.88
1970,3,6.703333333333333
1970,4,5.566666666666667
1971,1,3.856666666666667
1971,2,4.5633333333333335
1971,3,5.473333333333333
1971,4,4.75
1972,1,3.5400000000000005
1972,2,4.3
1972,3,4.739999999999999
1972,4,5.1433333333333335
1973,1,6.536666666666666
1973,2,7.816666666666667
1973,3,10.56
1973,4,9.996666666666666
1974,1,9.323333333333332
1974,2,11.25
1974,3,12.089999999999998
1974,4,9.346666666666666
1975,1,6.303333333333334
1975,2,5.420000000000001
1975,3,6.159999999999999
1975,4,5.413333333333333
1976,1,4.826666666666667
1976,2,5.196666666666666
