year,month,bdi,r
1985,1,978,0
1985,7,819,0
1985,12,820,0
1986,5,620,0
1986,10,748,0
1987,3,945,0
1987,8,1042,0
1987,11,1299,0
1988,3,1409,0
1988,8,1291,0
1988,12,1570,0
1989,6,1459,0
1989,10,1594,1
1990,1,1453,1
1990,6,1172,1
1990,11,1400,1
1991,3,1651,0
1991,8,1554,0
1992,1,1362,0
1992,4,1149,0
1992,8,1152,0
1993,1,1438,0
1993,7,1409,0
1993,12,1196,0
1994,4,1371,0
1994,8,1571,0
1994,11,1939,0
1995,4,2115,0
1995,8,1971,0
1995,11,1543,0
1996,4,1328,0
1996,8,1157,0
1996,12,1423,0
1997,6,1284,0
1997,10,1183,0
1998,3,948,0
1998,8,881,0
1999,1,907,0
1999,6,1026,0
1999,11,1344,0
2000,4,1594,0
2000,8,1677,0
2000,12,1478,0
2001,5,1301,1
2001,9,904,1
2001,12,984,0
2002,6,1078,0
2002,11,1569,0
2003,1,1937,0
2003,6,2187,0
2003,8,2690,0
2003,9,3436,0
2003,8,3054,0
2003,10,4320,0
2003,9,3837,0
2004,1,4666,0
2004,1,5217,0
2004,5,4096,0
2004,5,3783,0
2004,5,3289,0
2004,6,3007,0
2004,8,4322,0
2004,10,4656,0
2004,10,5016,0
2004,10,5454,0
2004,10,5892,0
2005,1,4541,0
2005,3,4197,0
2005,3,3817,0
2005,4,3387,0
2005,7,2817,0
2005,6,2275,0
2005,6,1833,0
2005,10,2924,0
2005,12,2491,0
2005,12,2227,0
2006,5,2569,0
2006,5,3003,0
2006,7,3414,0
2006,8,3868,0
2006,11,4285,0
2006,12,4740,0
2007,1,5237,0
2007,3,5694,0
2007,4,6086,0
2007,6,6552,0
2007,7,6975,0
2007,7,7472,0
2007,9,8070,1
2007,10,8898,1
2007,10,8454,1
2007,10,9579,1
2007,10,10108,1
2007,10,10457,1
2008,1,7558,1
2007,12,7136,1
2008,1,8015,1
2008,1,6710,1
2007,12,6169,1
2008,4,8389,1
2008,5,8998,1
2008,5,9655,1
2008,5,10426,1
2008,5,10113,1
2008,5,11143,1
2008,4,10911,1
2008,7,7864,1
2008,7,7346,1
2008,7,6951,1
2008,7,6607,1
2008,7,6204,1
2008,8,5798,1
2008,8,5386,1
2008,8,5042,1
2008,8,4697,1
2008,8,4353,1
2008,8,3941,1
2008,8,3492,1
2008,8,3078,1
2008,8,2678,1
2008,8,2230,1
2008,8,1861,1
2008,10,1320,1
2008,10,839,1
2009,3,1805,1
2009,6,2610,1
2009,4,2256,1
2009,5,3282,0
2009,7,3597,0
2009,8,2482,0
2009,10,3065,0
2009,10,3670,0
2010,4,2828,0
2010,4,3383,0
2010,4,3837,0
2010,7,2384,0
2010,9,2027,0
2010,10,2459,0
2010,11,1739,0
2010,12,1362,0
2011,1,1238,0
2011,6,1435,0
2011,10,1795,0
2012,1,1179,0
2012,1,857,0
2012,7,854,0
2012,10,838,0
2013,4,964,0
2013,8,1438,0
2013,10,1865,0
2013,12,1272,0
2014,3,975,0
2014,7,957,0
2014,10,1192,0
2014,12,627,0
2015,4,644,0
2015,8,877,0
2015,12,425,0
2016,5,649,0
2016,10,906,0
2016,12,1053,0
2017,5,1011,0
2017,10,1372,0
2018,3,1200,0
2018,8,1523,0
2018,11,1156,0
2018,12,809,0
2019,5,1246,0
2019,6,1681,0
