,date,bdi,r,year,qtr
0,1985-1-1,978,0,1985,1
1,1985-7-1,819,0,1985,3
2,1985-12-1,820,0,1985,4
3,1986-5-1,620,0,1986,2
4,1986-10-1,748,0,1986,4
5,1987-3-1,945,0,1987,1
6,1987-8-1,1042,0,1987,3
7,1987-11-1,1299,0,1987,4
8,1988-3-1,1409,0,1988,1
9,1988-8-1,1291,0,1988,3
10,1988-12-1,1570,0,1988,4
11,1989-6-1,1459,0,1989,2
12,1989-10-1,1594,1,1989,4
13,1990-1-1,1453,1,1990,1
14,1990-6-1,1172,1,1990,2
15,1990-11-1,1400,1,1990,4
16,1991-3-1,1651,0,1991,1
17,1991-8-1,1554,0,1991,3
18,1992-1-1,1362,0,1992,1
19,1992-4-1,1149,0,1992,2
20,1992-8-1,1152,0,1992,3
21,1993-1-1,1438,0,1993,1
22,1993-7-1,1409,0,1993,3
23,1993-12-1,1196,0,1993,4
24,1994-4-1,1371,0,1994,2
25,1994-8-1,1571,0,1994,3
26,1994-11-1,1939,0,1994,4
27,1995-4-1,2115,0,1995,2
28,1995-8-1,1971,0,1995,3
29,1995-11-1,1543,0,1995,4
30,1996-4-1,1328,0,1996,2
31,1996-8-1,1157,0,1996,3
32,1996-12-1,1423,0,1996,4
33,1997-6-1,1284,0,1997,2
34,1997-10-1,1183,0,1997,4
35,1998-3-1,948,0,1998,1
36,1998-8-1,881,0,1998,3
37,1999-1-1,907,0,1999,1
38,1999-6-1,1026,0,1999,2
39,1999-11-1,1344,0,1999,4
40,2000-4-1,1594,0,2000,2
41,2000-8-1,1677,0,2000,3
42,2000-12-1,1478,0,2000,4
43,2001-5-1,1301,1,2001,2
44,2001-9-1,904,1,2001,3
45,2001-12-1,984,0,2001,4
46,2002-6-1,1078,0,2002,2
47,2002-11-1,1569,0,2002,4
48,2003-1-1,1937,0,2003,1
49,2003-6-1,2187,0,2003,2
50,2003-8-1,2690,0,2003,3
51,2003-9-1,3436,0,2003,3
52,2003-8-1,3054,0,2003,3
53,2003-10-1,4320,0,2003,4
54,2003-9-1,3837,0,2003,3
55,2004-1-1,4666,0,2004,1
56,2004-1-1,5217,0,2004,1
57,2004-5-1,4096,0,2004,2
58,2004-5-1,3783,0,2004,2
59,2004-5-1,3289,0,2004,2
60,2004-6-1,3007,0,2004,2
61,2004-8-1,4322,0,2004,3
62,2004-10-1,4656,0,2004,4
63,2004-10-1,5016,0,2004,4
64,2004-10-1,5454,0,2004,4
65,2004-10-1,5892,0,2004,4
66,2005-1-1,4541,0,2005,1
67,2005-3-1,4197,0,2005,1
68,2005-3-1,3817,0,2005,1
69,2005-4-1,3387,0,2005,2
70,2005-7-1,2817,0,2005,3
71,2005-6-1,2275,0,2005,2
72,2005-6-1,1833,0,2005,2
73,2005-10-1,2924,0,2005,4
74,2005-12-1,2491,0,2005,4
75,2005-12-1,2227,0,2005,4
76,2006-5-1,2569,0,2006,2
77,2006-5-1,3003,0,2006,2
78,2006-7-1,3414,0,2006,3
79,2006-8-1,3868,0,2006,3
80,2006-11-1,4285,0,2006,4
81,2006-12-1,4740,0,2006,4
82,2007-1-1,5237,0,2007,1
83,2007-3-1,5694,0,2007,1
84,2007-4-1,6086,0,2007,2
85,2007-6-1,6552,0,2007,2
86,2007-7-1,6975,0,2007,3
87,2007-7-1,7472,0,2007,3
