year,qtr,fed_rate
1954,3,1.026666667
1954,4,0.986666667
1955,1,1.343333333
1955,2,1.5
1955,3,1.94
1955,4,2.356666667
1956,1,2.483333333
1956,2,2.693333333
1956,3,2.81
1956,4,2.926666667
1957,1,2.933333333
1957,2,3
1957,3,3.233333333
1957,4,3.253333333
1958,1,1.863333333
1958,2,0.94
1958,3,1.323333333
1958,4,2.163333333
1959,1,2.57
1959,2,3.083333333
1959,3,3.576666667
1959,4,3.99
1960,1,3.933333333
1960,2,3.696666667
1960,3,2.936666667
1960,4,2.296666667
1961,1,2.003333333
1961,2,1.733333333
1961,3,1.683333333
1961,4,2.4
1962,1,2.456666667
1962,2,2.606666667
1962,3,2.846666667
1962,4,2.923333333
1963,1,2.966666667
1963,2,2.963333333
1963,3,3.33
1963,4,3.453333333
1964,1,3.463333333
1964,2,3.49
1964,3,3.456666667
1964,4,3.576666667
1965,1,3.973333333
1965,2,4.076666667
1965,3,4.073333333
1965,4,4.166666667
1966,1,4.556666667
1966,2,4.913333333
1966,3,5.41
1966,4,5.563333333
1967,1,4.823333333
1967,2,3.99
1967,3,3.893333333
1967,4,4.173333333
1968,1,4.786666667
1968,2,5.98
1968,3,5.943333333
1968,4,5.916666667
1969,1,6.566666667
1969,2,8.326666667
1969,3,8.983333333
1969,4,8.94
1970,1,8.573333333
1970,2,7.88
1970,3,6.703333333
1970,4,5.566666667
1971,1,3.856666667
1971,2,4.563333333
1971,3,5.473333333
1971,4,4.75
1972,1,3.54
1972,2,4.3
1972,3,4.74
1972,4,5.143333333
1973,1,6.536666667
1973,2,7.816666667
1973,3,10.56
1973,4,9.996666667
1974,1,9.323333333
1974,2,11.25
1974,3,12.09
1974,4,9.346666667
1975,1,6.303333333
1975,2,5.42
1975,3,6.16
1975,4,5.413333333
1976,1,4.826666667
1976,2,5.196666667
1976,3,5.283333333
1976,4,4.873333333
1977,1,4.66
1977,2,5.156666667
1977,3,5.82
1977,4,6.513333333
1978,1,6.756666667
1978,2,7.283333333
1978,3,8.1
1978,4,9.583333333
1979,1,10.07333333
1979,2,10.18
1979,3,10.94666667
1979,4,13.57666667
1980,1,15.04666667
1980,2,12.68666667
1980,3,9.836666667
1980,4,15.85333333
1981,1,16.57
1981,2,17.78
1981,3,17.57666667
1981,4,13.58666667
1982,1,14.22666667
1982,2,14.51333333
1982,3,11.00666667
1982,4,9.286666667
1983,1,8.653333333
1983,2,8.803333333
1983,3,9.46
1983,4,9.43
1984,1,9.686666667
1984,2,10.55666667
1984,3,11.39
1984,4,9.266666667
1985,1,8.476666667
1985,2,7.923333333
1985,3,7.9
1985,4,8.103333333
1986,1,7.826666667
1986,2,6.92
1986,3,6.206666667
1986,4,6.266666667
1987,1,6.22
1987,2,6.65
1987,3,6.843333333
1987,4,6.916666667
1988,1,6.663333333
1988,2,7.156666667
1988,3,7.983333333
1988,4,8.47
1989,1,9.443333333
1989,2,9.726666667
1989,3,9.083333333
1989,4,8.613333333
1990,1,8.25
1990,2,8.243333333
1990,3,8.16
1990,4,7.743333333
1991,1,6.426666667
1991,2,5.863333333
1991,3,5.643333333
1991,4,4.816666667
1992,1,4.023333333
1992,2,3.77
1992,3,3.256666667
1992,4,3.036666667
1993,1,3.04
1993,2,3
1993,3,3.06
1993,4,2.99
1994,1,3.213333333
1994,2,3.94
1994,3,4.486666667
1994,4,5.166666667
1995,1,5.81
1995,2,6.02
1995,3,5.796666667
1995,4,5.72
1996,1,5.363333333
1996,2,5.243333333
1996,3,5.306666667
1996,4,5.28
1997,1,5.276666667
1997,2,5.523333333
1997,3,5.533333333
1997,4,5.506666667
1998,1,5.52
1998,2,5.5
1998,3,5.533333333
1998,4,4.86
1999,1,4.733333333
1999,2,4.746666667
1999,3,5.093333333
1999,4,5.306666667
2000,1,5.676666667
2000,2,6.273333333
2000,3,6.52
2000,4,6.473333333
2001,1,5.593333333
2001,2,4.326666667
2001,3,3.496666667
2001,4,2.133333333
2002,1,1.733333333
2002,2,1.75
2002,3,1.74
2002,4,1.443333333
2003,1,1.25
2003,2,1.246666667
2003,3,1.016666667
2003,4,0.996666667
2004,1,1.003333333
2004,2,1.01
2004,3,1.433333333
2004,4,1.95
2005,1,2.47
2005,2,2.943333333
2005,3,3.46
2005,4,3.98
2006,1,4.456666667
2006,2,4.906666667
2006,3,5.246666667
2006,4,5.246666667
2007,1,5.256666667
2007,2,5.25
2007,3,5.073333333
2007,4,4.496666667
2008,1,3.176666667
2008,2,2.086666667
2008,3,1.94
2008,4,0.506666667
2009,1,0.183333333
2009,2,0.18
2009,3,0.156666667
2009,4,0.12
2010,1,0.133333333
2010,2,0.193333333
2010,3,0.186666667
2010,4,0.186666667
2011,1,0.156666667
2011,2,0.093333333
2011,3,0.083333333
2011,4,0.073333333
2012,1,0.103333333
2012,2,0.153333333
2012,3,0.143333333
2012,4,0.16
2013,1,0.143333333
2013,2,0.116666667
2013,3,0.083333333
2013,4,0.086666667
2014,1,0.073333333
2014,2,0.093333333
2014,3,0.09
2014,4,0.1
2015,1,0.11
2015,2,0.123333333
2015,3,0.136666667
2015,4,0.16
2016,1,0.36
2016,2,0.373333333
2016,3,0.396666667
2016,4,0.45
2017,1,0.7
2017,2,0.95
2017,3,1.153333333
2017,4,1.203333333
2018,1,1.446666667
2018,2,1.736666667
2018,3,1.923333333
2018,4,2.22
2019,1,2.403333333
2019,2,2.396666667
2019,3,2.19
