dateok,dwell00
2017-12-01 20:01:20,10
2017-12-01 20:01:40,2
2017-12-01 20:02:20,0
2017-12-01 20:02:50,2
2017-12-01 20:03:30,1
2017-12-01 20:04:50,2
2017-12-01 20:06:20,0
2017-12-01 20:06:30,3
2017-12-01 20:07:30,5
2017-12-01 20:07:50,2
2017-12-01 20:08:10,2
2017-12-01 20:08:20,2
2017-12-01 20:11:10,1
2017-12-01 20:13:30,7
2017-12-01 20:13:40,1
2017-12-01 20:16:30,0
2017-12-01 20:17:00,1
2017-12-01 20:17:40,0
2017-12-01 20:17:50,1
2017-12-01 20:18:40,0
2017-12-01 20:19:10,0
2017-12-01 20:19:50,1
2017-12-01 20:26:40,0
2017-12-01 20:27:00,0
2017-12-01 20:28:20,1
2017-12-01 20:29:00,1
2017-12-01 20:31:00,0
2017-12-01 20:32:00,5
2017-12-01 20:32:30,1
2017-12-01 20:32:50,2
2017-12-01 20:34:00,0
2017-12-01 20:41:20,1
2017-12-01 20:42:00,4
2017-12-01 20:43:00,6
2017-12-01 20:46:00,3
2017-12-01 20:48:20,0
2017-12-01 20:49:10,0
2017-12-01 20:52:20,1
2017-12-01 20:53:40,0
2017-12-01 21:00:40,0
2017-12-01 21:13:20,0
2017-12-01 21:15:20,2
2017-12-01 21:16:40,0
2017-12-01 21:18:30,2
2017-12-01 21:32:40,0
2017-12-01 21:37:20,1
2017-12-02 06:05:20,2
2017-12-02 06:30:50,5
2017-12-02 07:34:30,1
2017-12-02 07:45:20,3
2017-12-02 07:48:50,1
2017-12-02 07:53:30,10
2017-12-02 08:00:40,0
2017-12-02 08:03:30,0
2017-12-02 08:06:10,0
2017-12-02 08:10:20,0
2017-12-02 08:11:20,0
2017-12-02 08:12:10,2
2017-12-02 08:12:30,0
2017-12-02 08:16:00,3
2017-12-02 08:19:40,2
2017-12-02 08:22:10,0
2017-12-02 08:22:40,2
2017-12-02 08:27:00,26
2017-12-02 08:27:40,8
2017-12-02 08:31:50,2
2017-12-02 08:32:10,0
2017-12-02 08:38:00,43
2017-12-02 08:39:20,3
2017-12-02 08:41:30,0
2017-12-02 08:41:40,0
2017-12-02 08:42:00,4
2017-12-02 08:42:10,1
2017-12-02 08:42:30,15
2017-12-02 08:47:50,2
2017-12-02 08:48:20,11
2017-12-02 08:48:40,1
2017-12-02 08:49:40,1
2017-12-02 08:50:30,4
2017-12-02 08:50:40,9
2017-12-02 08:51:00,3
2017-12-02 08:51:10,9
2017-12-02 08:51:20,1
2017-12-02 08:51:30,1
2017-12-02 08:53:00,40
2017-12-02 08:54:10,0
2017-12-02 08:54:50,1
2017-12-02 08:55:30,11
2017-12-02 08:55:40,2
2017-12-02 08:57:20,0
2017-12-02 08:59:20,10
2017-12-02 08:59:40,1
2017-12-02 09:00:20,4
2017-12-02 09:00:40,1
2017-12-02 09:02:00,64
2017-12-02 09:03:20,0
2017-12-02 09:04:00,3
2017-12-02 09:04:50,22
2017-12-02 09:05:50,2
2017-12-02 09:06:20,1
2017-12-02 09:06:40,4
2017-12-02 09:07:00,3
2017-12-02 09:07:10,2
2017-12-02 09:07:20,3
2017-12-02 09:07:40,2
2017-12-02 09:07:50,1
2017-12-02 09:08:30,1
2017-12-02 09:09:30,6
2017-12-02 09:10:20,6
2017-12-02 09:11:50,23
2017-12-02 09:12:20,5
2017-12-02 09:13:50,1
2017-12-02 09:14:10,7
2017-12-02 09:14:30,1
2017-12-02 09:14:50,2
2017-12-02 09:16:10,9
2017-12-02 09:16:20,2
2017-12-02 09:16:40,4
2017-12-02 09:17:10,21
2017-12-02 09:17:50,1
2017-12-02 09:18:10,0
2017-12-02 09:18:50,8
2017-12-02 09:19:10,4
2017-12-02 09:20:30,1
2017-12-02 09:21:00,7
2017-12-02 09:21:10,1
2017-12-02 09:21:20,12
2017-12-02 09:21:30,5
2017-12-02 09:21:40,0
2017-12-02 09:22:30,2
2017-12-02 09:22:50,0
2017-12-02 09:23:00,6
2017-12-02 09:24:30,14
2017-12-02 09:25:30,2
2017-12-02 09:25:40,3
2017-12-02 09:26:10,3
2017-12-02 09:26:20,23
2017-12-02 09:26:40,63
2017-12-02 09:27:30,42
2017-12-02 09:27:50,20
2017-12-02 09:28:40,17
2017-12-02 09:29:10,6
2017-12-02 09:29:20,68
2017-12-02 09:29:30,29
2017-12-02 09:29:50,0
2017-12-02 09:30:20,12
2017-12-02 09:30:50,82
2017-12-02 09:31:00,7
2017-12-02 09:31:10,16
2017-12-02 09:31:40,1
2017-12-02 09:31:50,0
2017-12-02 09:32:00,1
2017-12-02 09:32:10,2
2017-12-02 09:32:50,38
2017-12-02 09:33:00,9
2017-12-02 09:33:10,1
2017-12-02 09:33:30,4
2017-12-02 09:33:40,2
2017-12-02 09:34:20,39
2017-12-02 09:34:50,6
2017-12-02 09:35:20,19
2017-12-02 09:36:00,0
2017-12-02 09:36:20,2
2017-12-02 09:36:40,7
2017-12-02 09:36:50,7
2017-12-02 09:37:20,9
2017-12-02 09:37:30,18
2017-12-02 09:37:40,10
2017-12-02 09:37:50,0
2017-12-02 09:38:00,12
2017-12-02 09:38:10,0
2017-12-02 09:38:20,1
2017-12-02 09:38:50,4
2017-12-02 09:39:00,2
2017-12-02 09:39:10,7
2017-12-02 09:39:40,1
2017-12-02 09:39:50,57
2017-12-02 09:40:30,0
2017-12-02 09:40:50,6
2017-12-02 09:41:00,0
2017-12-02 09:41:30,0
2017-12-02 09:42:30,11
2017-12-02 09:43:10,1
2017-12-02 09:43:20,6
2017-12-02 09:44:00,1
2017-12-02 09:44:20,2
2017-12-02 09:44:30,1
2017-12-02 09:45:20,0
2017-12-02 09:45:30,0
2017-12-02 09:46:00,2
2017-12-02 09:46:20,7
2017-12-02 09:46:30,31
2017-12-02 09:46:50,2
2017-12-02 09:47:10,4
2017-12-02 09:47:30,0
